customer_id,first_name,last_name,email,signup_date,country,state,is_prime
1,First1,Last1,user1@example.com,2024-03-23,IN,NSW,0
2,First2,Last2,user2@example.com,2024-01-19,CA,KA,1
3,First3,Last3,user3@example.com,2024-05-29,US,CA,0
4,First4,Last4,user4@example.com,2024-01-23,DE,NSW,0
5,First5,Last5,user5@example.com,2024-03-02,US,NSW,0
6,First6,Last6,user6@example.com,2024-05-24,US,CA,0
7,First7,Last7,user7@example.com,2024-05-27,CA,NSW,0
8,First8,Last8,user8@example.com,2024-02-26,US,NY,1
9,First9,Last9,user9@example.com,2024-04-17,IN,KA,1
10,First10,Last10,user10@example.com,2024-05-23,AU,NY,0
11,First11,Last11,user11@example.com,2024-05-28,CA,CA,1
12,First12,Last12,user12@example.com,2024-01-25,CA,KA,0
13,First13,Last13,user13@example.com,2024-06-07,IN,BE,1
14,First14,Last14,user14@example.com,2024-07-17,GB,BE,1
15,First15,Last15,user15@example.com,2024-04-02,GB,CA,0
16,First16,Last16,user16@example.com,2024-06-27,IN,KA,1
17,First17,Last17,user17@example.com,2024-05-14,DE,ON,1
18,First18,Last18,user18@example.com,2024-03-14,CA,KA,0
19,First19,Last19,user19@example.com,2024-05-11,DE,NY,1
20,First20,Last20,user20@example.com,2024-02-08,DE,NSW,0
21,First21,Last21,user21@example.com,2024-06-20,US,ON,1
22,First22,Last22,user22@example.com,2024-06-26,GB,BE,1
23,First23,Last23,user23@example.com,2024-01-18,US,TX,1
24,First24,Last24,user24@example.com,2024-06-27,AU,KA,0
25,First25,Last25,user25@example.com,2024-07-06,AU,TX,1
26,First26,Last26,user26@example.com,2024-03-13,AU,NSW,1
27,First27,Last27,user27@example.com,2024-01-06,DE,ON,0
28,First28,Last28,user28@example.com,2024-06-05,US,BE,0
29,First29,Last29,user29@example.com,2024-02-25,GB,NY,0
30,First30,Last30,user30@example.com,2024-04-11,DE,BE,0
31,First31,Last31,user31@example.com,2024-02-12,DE,NSW,1
32,First32,Last32,user32@example.com,2024-02-05,DE,TX,1
33,First33,Last33,user33@example.com,2024-04-01,AU,NSW,0
34,First34,Last34,user34@example.com,2024-02-08,US,NY,0
35,First35,Last35,user35@example.com,2024-02-29,AU,CA,0
36,First36,Last36,user36@example.com,2024-05-04,CA,NY,1
37,First37,Last37,user37@example.com,2024-03-13,US,NY,1
38,First38,Last38,user38@example.com,2024-05-16,GB,ON,0
39,First39,Last39,user39@example.com,2024-06-25,CA,MAH,1
40,First40,Last40,user40@example.com,2024-07-18,AU,NSW,1
41,First41,Last41,user41@example.com,2024-04-12,DE,KA,1
42,First42,Last42,user42@example.com,2024-06-11,DE,MAH,0
43,First43,Last43,user43@example.com,2024-01-18,IN,BE,0
44,First44,Last44,user44@example.com,2024-01-29,GB,MAH,0
45,First45,Last45,user45@example.com,2024-01-01,CA,NY,0
46,First46,Last46,user46@example.com,2024-04-03,CA,MAH,0
47,First47,Last47,user47@example.com,2024-02-23,CA,NSW,0
48,First48,Last48,user48@example.com,2024-06-11,GB,ON,1
49,First49,Last49,user49@example.com,2024-05-01,US,KA,1
50,First50,Last50,user50@example.com,2024-04-29,DE,BE,1
